               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.03648,            0.019848,           0.0034638,              0.9887,             0.95621,             0.99243,             0.69639,            0.022329,           0.0091632,            0.001618,            0.005496,            0.005496,            0.046396
                  37,            0.038949,            0.019244,           0.0032595,             0.99021,             0.94388,             0.99009,             0.80977,            0.015982,           0.0089983,           0.0015422,           0.0056215,           0.0056215,            0.044922
                  38,            0.033597,            0.021909,           0.0071203,             0.76773,             0.99088,             0.98355,             0.81295,            0.014464,           0.0092418,           0.0022072,           0.0057452,           0.0057452,            0.043445
                  39,            0.031436,             0.02147,           0.0046998,             0.98175,             0.95648,             0.98324,             0.73343,             0.01624,           0.0093921,           0.0017375,           0.0058671,           0.0058671,            0.041967
                  40,            0.034252,            0.020428,            0.004843,             0.97842,             0.98229,             0.99252,             0.76524,            0.013846,           0.0090294,           0.0015437,           0.0059871,           0.0059871,            0.040487
                  41,            0.032391,            0.020158,           0.0035421,             0.99086,             0.97977,             0.99189,             0.82457,            0.012033,           0.0083907,           0.0018517,           0.0061051,           0.0061051,            0.039005
                  42,            0.034684,            0.019967,            0.003342,             0.98186,             0.95161,             0.98015,             0.81205,            0.021526,           0.0087745,           0.0015433,           0.0062213,           0.0062213,            0.037521
                  43,            0.035484,            0.020437,           0.0035019,             0.98431,             0.99136,             0.98546,             0.72152,            0.016258,           0.0086827,           0.0016214,           0.0063354,           0.0063354,            0.036035
                  44,            0.030911,            0.018911,           0.0032184,              0.9901,             0.98201,             0.98809,             0.67673,            0.015893,            0.008408,           0.0014554,           0.0064475,           0.0064475,            0.034547
                  45,            0.029826,            0.018878,           0.0033852,             0.98757,             0.97414,             0.98174,             0.68316,            0.021096,           0.0090115,           0.0017734,           0.0065575,           0.0065575,            0.033058
                  46,            0.034343,            0.018967,           0.0025231,             0.98016,             0.94838,             0.97968,             0.65339,            0.017945,            0.008439,           0.0015156,           0.0066655,           0.0066655,            0.031566
                  47,            0.035249,            0.018333,           0.0028545,             0.99089,              0.9812,             0.98646,             0.85454,            0.015259,           0.0080514,           0.0014103,           0.0067713,           0.0067713,            0.030071
                  48,            0.032416,            0.019274,           0.0036954,             0.97338,             0.95868,              0.9903,             0.79108,            0.015697,           0.0091491,           0.0014311,            0.006875,            0.006875,            0.028575
                  49,            0.033037,            0.018877,           0.0030185,             0.97584,             0.99137,             0.98702,             0.80066,            0.015695,           0.0086435,           0.0015478,           0.0069765,           0.0069765,            0.027077
                  50,            0.033039,            0.019895,           0.0042573,             0.97469,             0.99137,              0.9902,             0.79559,            0.012541,           0.0082753,           0.0016429,           0.0070758,           0.0070758,            0.025576
                  51,            0.031134,            0.020083,           0.0026507,             0.99076,             0.97405,               0.988,             0.84987,            0.017399,           0.0081883,           0.0015273,           0.0071729,           0.0071729,            0.024073
                  52,            0.034657,            0.018899,           0.0029521,             0.99002,              0.9732,             0.99225,              0.7799,            0.021206,           0.0088472,            0.001584,           0.0072677,           0.0072677,            0.022568
                  53,            0.030976,            0.019818,           0.0031379,             0.98931,             0.97313,             0.99284,             0.79772,            0.014987,           0.0088388,             0.00152,           0.0073601,           0.0073601,             0.02106
                  54,            0.031957,            0.018879,           0.0028563,             0.97417,             0.98989,              0.9923,             0.82011,            0.012028,           0.0088114,           0.0019674,           0.0074503,           0.0074503,             0.01955
                  55,            0.031022,            0.020227,           0.0029492,             0.98924,             0.99137,             0.99278,             0.63445,            0.018927,             0.01308,           0.0017075,           0.0075382,           0.0075382,            0.018038
                  56,            0.030454,            0.019592,           0.0027595,             0.98959,             0.99138,             0.98872,             0.61319,            0.020197,            0.009173,           0.0013263,           0.0076236,           0.0076236,            0.016524
                  57,            0.031269,            0.019059,           0.0022474,             0.99091,             0.98497,             0.98618,             0.73218,            0.016139,           0.0088533,           0.0012249,           0.0077067,           0.0077067,            0.015007
                  58,            0.031493,            0.019938,           0.0030104,              0.9674,             0.98229,             0.98188,             0.82633,            0.011712,           0.0081785,           0.0014542,           0.0077874,           0.0077874,            0.013487
                  59,            0.030464,             0.01826,           0.0025829,             0.97709,             0.99137,             0.98325,             0.81271,            0.011752,           0.0083834,           0.0017155,           0.0078656,           0.0078656,            0.011966
                  60,            0.028839,            0.019964,           0.0026548,             0.98227,             0.98259,             0.97618,             0.79866,            0.014511,           0.0081167,           0.0015647,           0.0079414,           0.0079414,            0.010441
                  61,            0.027354,            0.018323,           0.0028941,             0.98699,             0.98229,             0.98512,             0.83106,            0.011651,           0.0080908,            0.001734,           0.0080147,           0.0080147,           0.0089147
                  62,            0.030702,            0.018452,           0.0032469,             0.98094,             0.97316,             0.98863,             0.81425,            0.010731,           0.0082334,            0.001607,           0.0080294,           0.0080294,           0.0080294
                  63,             0.02671,            0.019654,           0.0022614,             0.99096,             0.98601,             0.98895,             0.84969,            0.011619,           0.0081046,           0.0012459,           0.0080294,           0.0080294,           0.0080294
                  64,            0.030864,            0.019826,           0.0021521,             0.98228,              0.9577,             0.98506,             0.70062,            0.016048,           0.0083602,          0.00099338,           0.0079706,           0.0079706,           0.0079706
                  65,            0.032088,            0.019649,           0.0027237,             0.99095,             0.98529,             0.99066,             0.81588,             0.01176,           0.0078196,          0.00093814,           0.0079112,           0.0079112,           0.0079112
                  66,            0.029782,             0.01853,           0.0026932,             0.98255,             0.99749,             0.99483,             0.86299,             0.01049,           0.0076318,          0.00084184,           0.0078512,           0.0078512,           0.0078512
                  67,             0.02788,            0.018904,           0.0020199,              0.9992,             0.98216,             0.99474,             0.82223,            0.012834,           0.0079281,          0.00098451,           0.0077907,           0.0077907,           0.0077907
                  68,            0.026526,             0.01875,           0.0028926,             0.98118,             0.99138,             0.98596,             0.82099,            0.015438,           0.0082458,           0.0011079,           0.0077296,           0.0077296,           0.0077296
                  69,            0.028981,            0.018033,           0.0031668,             0.99695,                   1,               0.995,             0.74164,            0.013776,           0.0081258,          0.00092961,           0.0076679,           0.0076679,           0.0076679
                  70,            0.028233,            0.017565,           0.0053501,              0.9902,             0.98179,             0.99439,             0.83294,            0.012739,           0.0083738,           0.0010447,           0.0076057,           0.0076057,           0.0076057
                  71,            0.026609,            0.017789,           0.0051836,              0.9905,             0.99135,             0.98357,             0.83558,            0.012005,           0.0088338,           0.0014452,            0.007543,            0.007543,            0.007543
                  72,             0.02551,             0.01925,           0.0096445,             0.98138,             0.91863,             0.97893,             0.73664,            0.015073,            0.010996,           0.0027254,           0.0074797,           0.0074797,           0.0074797
                  73,            0.026338,            0.021712,           0.0082041,             0.92154,             0.88459,              0.9537,             0.71593,            0.014387,            0.014807,           0.0037308,            0.007416,            0.007416,            0.007416
                  74,            0.031858,            0.022773,           0.0053943,             0.92397,             0.84218,             0.93765,             0.65292,            0.016242,            0.015754,           0.0050638,           0.0073518,           0.0073518,           0.0073518
                  75,            0.028316,            0.020418,           0.0051874,             0.87281,             0.89244,             0.93927,             0.73733,            0.014247,            0.014401,           0.0036517,           0.0072872,           0.0072872,           0.0072872
                  76,            0.027213,            0.020231,            0.004716,             0.94627,             0.93769,             0.97228,             0.78197,            0.011735,            0.011487,           0.0018219,           0.0072221,           0.0072221,           0.0072221
                  77,            0.028998,            0.021949,           0.0038115,             0.97681,             0.97367,             0.98826,             0.83768,            0.011264,            0.009414,           0.0010843,           0.0071566,           0.0071566,           0.0071566
                  78,            0.022383,            0.018995,            0.004027,             0.97528,             0.96505,             0.98836,             0.76969,            0.015758,           0.0096612,           0.0010751,           0.0070906,           0.0070906,           0.0070906
                  79,            0.024571,            0.019395,            0.002774,             0.96581,              0.9807,             0.98834,             0.76371,            0.012131,           0.0092603,           0.0010439,           0.0070243,           0.0070243,           0.0070243
                  80,            0.027248,            0.020684,           0.0030824,             0.98205,             0.97853,             0.99005,             0.84778,            0.010693,           0.0086382,           0.0011192,           0.0069576,           0.0069576,           0.0069576
                  81,            0.026007,            0.019522,           0.0029574,             0.97628,             0.98227,             0.98845,             0.79826,           0.0099409,           0.0084627,           0.0011327,           0.0068906,           0.0068906,           0.0068906
                  82,            0.027453,            0.018009,           0.0023445,             0.97959,             0.98228,              0.9842,              0.8059,            0.011689,           0.0086443,           0.0011045,           0.0068232,           0.0068232,           0.0068232
                  83,            0.025871,             0.01817,           0.0030904,              0.9823,             0.98331,             0.98475,              0.8237,           0.0098133,           0.0081322,            0.001229,           0.0067555,           0.0067555,           0.0067555
                  84,            0.024969,            0.018389,           0.0027673,             0.97558,             0.99138,              0.9901,             0.80635,            0.010656,           0.0086234,           0.0010704,           0.0066874,           0.0066874,           0.0066874
                  85,            0.022602,            0.018294,           0.0021553,             0.97497,             0.99136,             0.99165,             0.83299,            0.011218,           0.0077282,           0.0011665,           0.0066191,           0.0066191,           0.0066191
                  86,            0.022897,            0.016683,           0.0029428,             0.98258,             0.99906,             0.99394,             0.86084,           0.0094454,           0.0077684,           0.0011256,           0.0065505,           0.0065505,           0.0065505
                  87,            0.023138,            0.018773,           0.0022321,             0.99086,             0.98296,             0.99136,             0.84534,           0.0089014,           0.0073537,           0.0011021,           0.0064816,           0.0064816,           0.0064816
                  88,            0.022862,            0.018187,           0.0021183,             0.99091,             0.98255,             0.99191,             0.89273,           0.0084259,           0.0073428,           0.0011027,           0.0064125,           0.0064125,           0.0064125
