               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083467,            0.019647,             0.05041,             0.14193,             0.23884,            0.068391,            0.020705,            0.062872,            0.012634,            0.047637,           0.0033293,           0.0033293,            0.070036
                   1,            0.065193,              0.0151,            0.045488,             0.15219,             0.34572,             0.15927,            0.053347,            0.057911,             0.01156,            0.043394,           0.0066623,           0.0066623,            0.040036
                   2,            0.064811,            0.014837,            0.042769,              0.2712,             0.25351,             0.13272,            0.042304,            0.061282,             0.01258,            0.042704,           0.0099938,           0.0099938,            0.010034
                   3,            0.064631,            0.015227,            0.042492,             0.31448,              0.2303,             0.15046,            0.052082,            0.059612,            0.011354,            0.042331,            0.009995,            0.009995,            0.009995
                   4,            0.061907,             0.01486,              0.0403,             0.16632,             0.28972,             0.15918,            0.052753,            0.059457,            0.011241,            0.040188,            0.009995,            0.009995,            0.009995
                   5,            0.060669,            0.014748,            0.038768,             0.30224,             0.25529,             0.16328,            0.050922,            0.060999,             0.01071,              0.0392,           0.0099911,           0.0099911,           0.0099911
                   6,            0.058863,            0.014324,            0.037431,             0.40286,              0.2598,             0.21646,            0.073733,             0.05697,            0.010351,            0.038575,           0.0099861,           0.0099861,           0.0099861
                   7,              0.0578,            0.014132,            0.036774,             0.26442,             0.35457,             0.24417,             0.08351,            0.055105,            0.010264,            0.036806,             0.00998,             0.00998,             0.00998
                   8,            0.057115,            0.014082,            0.036137,             0.24854,             0.34993,             0.23096,            0.067603,            0.058184,            0.010263,            0.037942,           0.0099728,           0.0099728,           0.0099728
                   9,            0.056809,              0.0138,            0.035254,             0.34211,             0.31387,             0.25982,            0.090887,            0.056081,            0.010415,            0.036864,           0.0099645,           0.0099645,           0.0099645
                  10,            0.056494,            0.013568,            0.033992,             0.29275,             0.33857,             0.27009,             0.10058,             0.05636,            0.009862,            0.036245,           0.0099551,           0.0099551,           0.0099551
                  11,            0.055714,            0.013565,            0.033327,             0.42647,               0.318,             0.30116,             0.10609,            0.054198,           0.0098976,             0.03448,           0.0099446,           0.0099446,           0.0099446
                  12,            0.055102,            0.013157,            0.032889,             0.46147,             0.28722,              0.2927,             0.10272,            0.054978,            0.010053,            0.036505,            0.009933,            0.009933,            0.009933
                  13,            0.054788,            0.013221,            0.031791,             0.29491,              0.3958,             0.28572,             0.10692,             0.05557,           0.0099835,            0.033769,           0.0099203,           0.0099203,           0.0099203
                  14,            0.054277,            0.013252,            0.031389,              0.3693,             0.38384,             0.33026,             0.12084,            0.053914,           0.0095909,            0.034545,           0.0099065,           0.0099065,           0.0099065
                  15,             0.05406,            0.012929,             0.03062,             0.31649,             0.39906,             0.31962,              0.1136,            0.054146,           0.0096338,             0.03391,           0.0098916,           0.0098916,           0.0098916
                  16,            0.053787,            0.013015,            0.030258,             0.32476,              0.3808,             0.30705,             0.11026,            0.053996,            0.009866,            0.034677,           0.0098757,           0.0098757,           0.0098757
                  17,            0.053601,            0.013078,            0.029849,              0.3817,             0.35439,             0.31163,               0.115,            0.054675,           0.0098233,            0.035894,           0.0098586,           0.0098586,           0.0098586
                  18,            0.053091,            0.012966,            0.028905,             0.39684,             0.31135,             0.30466,             0.11007,            0.055029,            0.010344,            0.035167,           0.0098405,           0.0098405,           0.0098405
                  19,            0.052821,            0.012949,            0.028037,             0.47245,             0.31102,             0.35091,             0.13126,            0.052863,           0.0094897,            0.033508,           0.0098213,           0.0098213,           0.0098213
                  20,            0.052179,            0.012749,            0.027535,             0.35874,              0.3739,             0.32948,             0.11955,            0.053589,           0.0094764,            0.034644,           0.0098011,           0.0098011,           0.0098011
                  21,            0.052126,            0.012837,            0.027783,             0.39933,             0.32367,             0.32086,             0.12023,            0.054061,           0.0096199,            0.033827,           0.0097798,           0.0097798,           0.0097798
                  22,            0.051921,            0.012587,            0.026519,             0.43807,             0.36562,             0.35749,             0.11364,            0.053308,           0.0095809,            0.033729,           0.0097574,           0.0097574,           0.0097574
                  23,            0.051433,            0.012651,            0.025759,             0.50181,             0.33452,             0.34006,             0.12635,             0.05398,            0.009406,            0.034493,            0.009734,            0.009734,            0.009734
                  24,             0.05122,            0.012476,            0.025659,             0.41166,              0.4081,             0.36853,              0.1362,            0.053302,           0.0097099,            0.032733,           0.0097095,           0.0097095,           0.0097095
                  25,            0.051358,            0.012459,            0.024547,             0.34882,             0.42463,             0.35219,             0.12681,            0.054157,           0.0094798,            0.033767,            0.009684,            0.009684,            0.009684
                  26,             0.05123,            0.012504,            0.024599,             0.45005,             0.38351,              0.3639,             0.13153,            0.052688,           0.0094613,            0.032257,           0.0096575,           0.0096575,           0.0096575
                  27,            0.050494,            0.012387,            0.024153,             0.48092,             0.37239,             0.37066,             0.13621,            0.052303,           0.0094996,            0.033647,           0.0096299,           0.0096299,           0.0096299
                  28,            0.050136,            0.012544,            0.023317,              0.4456,             0.39602,             0.38461,              0.1415,            0.052419,           0.0094642,            0.032503,           0.0096013,           0.0096013,           0.0096013
                  29,             0.04984,            0.012366,            0.022463,             0.42726,             0.45697,             0.38584,             0.14536,             0.05302,           0.0094055,            0.032306,           0.0095717,           0.0095717,           0.0095717
                  30,            0.049609,             0.01204,            0.022215,             0.50149,             0.43708,             0.42267,             0.15793,            0.051362,           0.0093101,            0.031612,           0.0095411,           0.0095411,           0.0095411
                  31,            0.049691,            0.012157,            0.021965,             0.45872,             0.40632,             0.39432,             0.14859,            0.051886,           0.0093014,            0.031639,           0.0095095,           0.0095095,           0.0095095
                  32,            0.049502,            0.012306,            0.021285,             0.41249,             0.42625,             0.39329,             0.14777,            0.051696,           0.0092643,              0.0324,           0.0094769,           0.0094769,           0.0094769
                  33,            0.048895,            0.012106,            0.021041,              0.4987,             0.37585,             0.39298,             0.15749,            0.052105,           0.0093573,            0.032408,           0.0094434,           0.0094434,           0.0094434
                  34,            0.049109,            0.012194,            0.021171,             0.46938,             0.31116,              0.3324,             0.11925,            0.054746,           0.0099453,            0.037321,           0.0094088,           0.0094088,           0.0094088
                  35,            0.050811,            0.012718,            0.023771,             0.42302,             0.40393,              0.3786,             0.14671,            0.052413,           0.0093228,            0.033221,           0.0093733,           0.0093733,           0.0093733
                  36,            0.049155,            0.012037,            0.020353,             0.48321,             0.42427,             0.41736,             0.16465,             0.05161,            0.009193,            0.032189,           0.0093369,           0.0093369,           0.0093369
                  37,            0.048593,            0.011982,            0.019934,             0.44079,             0.42225,             0.39241,             0.15254,             0.05262,           0.0093189,            0.032095,           0.0092995,           0.0092995,           0.0092995
                  38,            0.048273,            0.011824,            0.018978,             0.43393,             0.42971,             0.40323,             0.15684,            0.052084,           0.0092677,            0.032792,           0.0092611,           0.0092611,           0.0092611
                  39,            0.047422,            0.011776,            0.018557,              0.4865,              0.3984,             0.39423,             0.15487,            0.051547,           0.0093039,            0.034032,           0.0092219,           0.0092219,           0.0092219
                  40,            0.047532,            0.011801,            0.017738,             0.41374,               0.463,             0.40591,             0.15868,            0.050882,           0.0092641,            0.034627,           0.0091817,           0.0091817,           0.0091817
                  41,             0.04764,            0.011773,            0.017823,              0.4644,             0.43588,             0.40302,             0.15727,            0.051056,            0.009303,            0.034233,           0.0091406,           0.0091406,           0.0091406
                  42,            0.047134,            0.011635,            0.017856,             0.47225,             0.43522,             0.43068,              0.1734,            0.050686,           0.0091249,             0.03302,           0.0090986,           0.0090986,           0.0090986
                  43,            0.047554,            0.011418,            0.017041,             0.50775,             0.40177,             0.42618,             0.17388,            0.051062,           0.0091002,            0.033342,           0.0090557,           0.0090557,           0.0090557
                  44,            0.046659,            0.011674,            0.015853,             0.48781,             0.45688,             0.43793,             0.17752,            0.050716,           0.0090878,            0.032693,           0.0090119,           0.0090119,           0.0090119
                  45,            0.046626,            0.011303,            0.016077,              0.5783,             0.43205,             0.45948,             0.18379,            0.050987,           0.0090771,            0.032265,           0.0089673,           0.0089673,           0.0089673
                  46,            0.046312,            0.011309,            0.015504,             0.53004,              0.4044,             0.41986,             0.16988,            0.050515,           0.0091136,            0.034929,           0.0089218,           0.0089218,           0.0089218
                  47,            0.046276,            0.011481,            0.016004,             0.53102,             0.42864,             0.44508,             0.18193,            0.050425,           0.0090356,            0.033851,           0.0088755,           0.0088755,           0.0088755
                  48,            0.046149,            0.011078,            0.015006,             0.51668,             0.45649,             0.44169,             0.18418,            0.050692,           0.0090646,            0.033392,           0.0088283,           0.0088283,           0.0088283
                  49,            0.045742,            0.011148,            0.014779,             0.53509,             0.43409,             0.44916,             0.18095,            0.050414,           0.0089995,            0.034406,           0.0087804,           0.0087804,           0.0087804
                  50,            0.045382,            0.011441,            0.014165,             0.51207,             0.42969,             0.44333,             0.18233,            0.050322,           0.0090079,            0.035404,           0.0087316,           0.0087316,           0.0087316
                  51,            0.044958,            0.011147,            0.013941,             0.49841,             0.43992,              0.4256,             0.17612,            0.050516,           0.0090889,              0.0354,            0.008682,            0.008682,            0.008682
                  52,            0.045273,            0.011043,            0.013697,             0.53813,             0.43883,             0.43169,             0.18294,            0.050346,           0.0091086,            0.036018,           0.0086316,           0.0086316,           0.0086316
                  53,            0.044615,            0.011084,            0.013545,             0.53919,             0.43926,             0.44458,             0.18592,            0.050778,           0.0090264,            0.035084,           0.0085805,           0.0085805,           0.0085805
                  54,            0.044431,            0.010867,            0.013475,             0.52798,             0.43711,             0.43527,             0.17489,            0.050403,           0.0091136,            0.035933,           0.0085286,           0.0085286,           0.0085286
                  55,            0.044162,            0.010767,             0.01248,             0.52488,             0.42225,             0.42742,             0.17844,            0.050487,            0.009099,            0.035323,           0.0084759,           0.0084759,           0.0084759
                  56,            0.044059,             0.01102,            0.012555,             0.54941,             0.43233,             0.44078,             0.18139,            0.050679,           0.0090185,            0.036589,           0.0084225,           0.0084225,           0.0084225
                  57,            0.043611,            0.010876,            0.012398,             0.54158,             0.45266,             0.44644,             0.18133,            0.050742,           0.0091311,            0.035475,           0.0083684,           0.0083684,           0.0083684
                  58,            0.043426,            0.011013,            0.011577,             0.56002,             0.45434,             0.45125,             0.17917,            0.050211,           0.0090275,            0.036058,           0.0083136,           0.0083136,           0.0083136
                  59,            0.043578,            0.010747,              0.0116,             0.50915,             0.45564,             0.44373,             0.18282,            0.050605,           0.0090251,            0.036489,           0.0082581,           0.0082581,           0.0082581
                  60,            0.043254,             0.01066,            0.011432,             0.55936,             0.40792,             0.41405,             0.16997,            0.050532,           0.0090344,            0.037239,           0.0082019,           0.0082019,           0.0082019
                  61,             0.04355,            0.010698,            0.011264,             0.53285,             0.41915,             0.42659,             0.17276,            0.050128,           0.0090831,            0.037477,            0.008145,            0.008145,            0.008145
                  62,            0.042917,            0.010742,            0.011911,              0.5388,             0.45277,             0.44895,             0.18392,            0.050144,            0.009088,            0.036357,           0.0080875,           0.0080875,           0.0080875
                  63,            0.042959,            0.010704,            0.011374,             0.58533,             0.40244,             0.43924,             0.17669,            0.050514,           0.0090718,            0.036357,           0.0080294,           0.0080294,           0.0080294
                  64,            0.042358,             0.01044,            0.010221,             0.53651,             0.44695,             0.43756,             0.17675,            0.050478,            0.009107,            0.036946,           0.0079706,           0.0079706,           0.0079706
                  65,            0.042085,            0.010459,            0.010289,             0.52967,             0.45938,             0.45712,             0.18577,            0.050474,           0.0091565,            0.036902,           0.0079112,           0.0079112,           0.0079112
                  66,            0.042037,            0.010432,           0.0097747,             0.52605,              0.4699,             0.45668,              0.1821,            0.050652,            0.009127,            0.037582,           0.0078512,           0.0078512,           0.0078512
                  67,             0.04208,            0.010443,           0.0098658,              0.5475,             0.44213,             0.45382,             0.18351,            0.050123,           0.0091662,            0.036026,           0.0077907,           0.0077907,           0.0077907
                  68,            0.041624,            0.010372,           0.0097597,             0.55094,             0.43408,             0.43634,             0.17346,            0.050397,           0.0092227,            0.036626,           0.0077296,           0.0077296,           0.0077296
                  69,            0.041561,            0.010186,            0.010089,             0.55423,             0.41396,             0.44345,             0.18042,            0.050669,             0.00913,            0.037163,           0.0076679,           0.0076679,           0.0076679
                  70,             0.04096,            0.010118,           0.0093063,             0.55691,             0.42132,             0.44229,             0.18484,            0.050024,           0.0092348,            0.037374,           0.0076057,           0.0076057,           0.0076057
                  71,            0.040839,             0.01008,           0.0086466,             0.50777,             0.47027,             0.44803,              0.1822,            0.049638,           0.0091037,            0.038426,            0.007543,            0.007543,            0.007543
                  72,            0.040849,             0.01007,           0.0088398,             0.53149,             0.44794,             0.43821,             0.18045,            0.050101,           0.0093565,            0.038937,           0.0074797,           0.0074797,           0.0074797
                  73,            0.040675,            0.010012,           0.0089586,             0.53194,             0.44582,             0.44355,              0.1776,            0.050253,           0.0093093,            0.038485,            0.007416,            0.007416,            0.007416
                  74,            0.040825,            0.010067,           0.0087446,             0.56207,             0.43975,             0.45012,             0.18275,            0.049944,           0.0092916,            0.038218,           0.0073518,           0.0073518,           0.0073518
                  75,             0.04043,            0.010069,           0.0085205,             0.53223,              0.4651,             0.44423,             0.18134,            0.050389,            0.009318,            0.038906,           0.0072872,           0.0072872,           0.0072872
                  76,            0.040225,             0.01001,            0.008611,             0.50022,             0.50719,             0.44555,             0.18091,            0.050391,           0.0093292,            0.038675,           0.0072221,           0.0072221,           0.0072221
                  77,            0.039827,           0.0098354,           0.0081954,             0.60216,             0.45146,             0.45302,             0.18267,            0.050338,           0.0093452,            0.040294,           0.0071566,           0.0071566,           0.0071566
                  78,            0.039355,           0.0098274,           0.0079409,             0.53984,             0.46682,             0.44416,             0.18207,            0.050508,           0.0093952,            0.040152,           0.0070906,           0.0070906,           0.0070906
                  79,            0.039291,           0.0098862,           0.0080415,             0.56929,             0.45216,             0.43702,             0.17714,            0.050565,           0.0094267,            0.040442,           0.0070243,           0.0070243,           0.0070243
                  80,            0.038885,            0.009751,           0.0071041,             0.52943,             0.47218,             0.44012,             0.18098,            0.050345,           0.0093649,              0.0414,           0.0069576,           0.0069576,           0.0069576
                  81,            0.038748,           0.0097211,           0.0077498,             0.54989,             0.46268,             0.45098,             0.18244,            0.050116,           0.0093222,            0.040641,           0.0068906,           0.0068906,           0.0068906
                  82,            0.039198,           0.0096981,           0.0075876,             0.56166,             0.44157,             0.44965,             0.18665,            0.050311,           0.0093317,            0.039875,           0.0068232,           0.0068232,           0.0068232
                  83,            0.038468,           0.0095347,            0.007111,             0.55171,             0.47135,             0.45044,             0.18745,            0.050326,            0.009264,            0.040241,           0.0067555,           0.0067555,           0.0067555
                  84,            0.038094,           0.0097009,           0.0069295,             0.56703,             0.47229,             0.45631,              0.1867,            0.050546,           0.0094504,            0.039801,           0.0066874,           0.0066874,           0.0066874
                  85,            0.038065,            0.009633,           0.0073908,             0.54002,             0.48905,             0.45185,             0.18505,             0.05059,           0.0094664,            0.039804,           0.0066191,           0.0066191,           0.0066191
                  86,            0.038455,           0.0096199,            0.007452,             0.57109,             0.45065,             0.44603,              0.1851,            0.050767,           0.0094245,            0.039321,           0.0065505,           0.0065505,           0.0065505
                  87,            0.038056,           0.0096145,           0.0073425,             0.60635,             0.41965,             0.44097,             0.18556,             0.05071,           0.0094035,            0.040032,           0.0064816,           0.0064816,           0.0064816
                  88,            0.037292,           0.0094301,            0.006741,             0.58586,             0.44418,             0.45308,             0.18867,            0.050597,           0.0094591,            0.041237,           0.0064125,           0.0064125,           0.0064125
                  89,            0.037325,           0.0091698,           0.0065881,             0.57222,             0.46346,             0.45607,             0.18368,            0.050615,           0.0094557,             0.04155,           0.0063432,           0.0063432,           0.0063432
                  90,            0.037188,           0.0095008,           0.0065418,             0.59556,             0.44911,             0.45652,             0.18267,            0.050537,           0.0094539,            0.041679,           0.0062737,           0.0062737,           0.0062737
                  91,            0.036766,           0.0092338,           0.0066098,             0.56193,             0.48074,              0.4578,             0.18762,            0.050454,            0.009435,            0.041981,            0.006204,            0.006204,            0.006204
                  92,            0.036767,            0.009211,           0.0066669,             0.54911,             0.48121,             0.46197,               0.189,            0.050169,            0.009432,            0.041965,           0.0061341,           0.0061341,           0.0061341
                  93,            0.036358,           0.0091748,           0.0063011,             0.58654,             0.46826,             0.46027,             0.19075,            0.050262,           0.0094403,            0.041257,            0.006064,            0.006064,            0.006064
                  94,            0.036152,           0.0090288,           0.0061417,             0.57048,              0.4775,             0.46846,             0.19398,            0.050333,           0.0095031,            0.041571,           0.0059938,           0.0059938,           0.0059938
                  95,            0.035755,           0.0090653,           0.0059893,             0.55422,             0.48672,             0.46461,              0.1906,            0.050325,           0.0095037,            0.041251,           0.0059235,           0.0059235,           0.0059235
                  96,            0.035398,            0.009023,           0.0062527,             0.58252,             0.47215,             0.47002,             0.19659,            0.050428,           0.0094829,            0.041413,           0.0058531,           0.0058531,           0.0058531
                  97,            0.035712,           0.0090975,           0.0064952,              0.5622,             0.48379,             0.46683,             0.19207,            0.050469,           0.0094923,             0.04098,           0.0057826,           0.0057826,           0.0057826
                  98,            0.035303,           0.0087926,           0.0055044,             0.58845,             0.46049,             0.46137,              0.1895,            0.050671,           0.0095702,            0.040987,            0.005712,            0.005712,            0.005712
                  99,            0.035055,           0.0088488,           0.0054435,             0.55666,             0.47832,             0.46573,             0.18952,             0.05068,           0.0095835,             0.04113,           0.0056413,           0.0056413,           0.0056413
                 100,            0.034657,           0.0088936,           0.0052031,             0.60916,              0.4386,             0.46322,             0.18897,            0.050671,           0.0096699,            0.041538,           0.0055707,           0.0055707,           0.0055707
                 101,            0.034542,           0.0087932,           0.0050158,             0.58984,              0.4543,             0.46514,             0.19401,             0.05053,           0.0096494,            0.041498,              0.0055,              0.0055,              0.0055
                 102,            0.034544,           0.0088264,           0.0054517,              0.5443,             0.49287,             0.46805,             0.19833,            0.050404,           0.0096839,            0.041142,           0.0054293,           0.0054293,           0.0054293
                 103,            0.034263,           0.0086361,           0.0052501,              0.6117,              0.4488,             0.47049,             0.19615,            0.050355,           0.0097106,            0.041244,           0.0053587,           0.0053587,           0.0053587
                 104,            0.033741,           0.0085572,           0.0046345,              0.5764,             0.46833,             0.46613,             0.19589,            0.050456,           0.0097323,            0.041471,            0.005288,            0.005288,            0.005288
                 105,            0.033234,           0.0083946,           0.0047809,             0.63328,             0.43729,             0.46616,             0.19429,            0.050476,           0.0097541,            0.041846,           0.0052174,           0.0052174,           0.0052174
                 106,            0.033347,           0.0085038,           0.0046169,             0.54256,             0.48477,             0.46306,             0.19492,             0.05058,            0.009778,            0.042283,           0.0051469,           0.0051469,           0.0051469
                 107,            0.033128,           0.0082533,           0.0045648,               0.548,             0.48667,             0.46388,             0.19442,            0.050657,           0.0097865,            0.042745,           0.0050765,           0.0050765,           0.0050765
                 108,            0.032993,           0.0084551,           0.0046087,             0.54207,             0.48509,             0.46532,             0.19426,            0.050693,           0.0098237,            0.042974,           0.0050062,           0.0050062,           0.0050062
                 109,            0.032556,           0.0083378,           0.0042555,             0.56994,             0.45413,             0.45567,             0.19223,            0.050814,           0.0098635,            0.042874,            0.004936,            0.004936,            0.004936
                 110,            0.032463,           0.0082806,           0.0044989,             0.57792,              0.4614,              0.4677,             0.19136,            0.050984,           0.0099266,             0.04275,           0.0048659,           0.0048659,           0.0048659
                 111,            0.031679,           0.0081861,           0.0040238,              0.5587,             0.47369,             0.46697,             0.19205,            0.051036,           0.0099546,            0.042969,            0.004796,            0.004796,            0.004796
                 112,             0.03185,            0.008117,           0.0041226,              0.5719,              0.4707,             0.46558,             0.19201,            0.051182,            0.009981,            0.043352,           0.0047263,           0.0047263,           0.0047263
                 113,            0.031676,           0.0080516,           0.0041909,             0.52326,             0.50436,             0.46449,             0.18945,            0.051252,           0.0099627,            0.043505,           0.0046568,           0.0046568,           0.0046568
                 114,            0.031354,           0.0080852,           0.0042757,             0.56153,             0.46874,             0.45939,             0.19003,            0.051214,           0.0099592,            0.043652,           0.0045875,           0.0045875,           0.0045875
                 115,             0.03105,           0.0079061,            0.004087,             0.57681,             0.46549,             0.46006,             0.19212,            0.051187,           0.0099813,            0.043754,           0.0045184,           0.0045184,           0.0045184
                 116,            0.031181,           0.0080917,            0.004278,             0.59224,             0.46075,             0.45769,             0.19059,            0.051154,           0.0099968,            0.043701,           0.0044495,           0.0044495,           0.0044495
                 117,            0.031051,           0.0079341,           0.0040743,             0.55871,             0.48177,             0.45702,             0.19131,            0.051102,            0.010002,            0.043729,           0.0043809,           0.0043809,           0.0043809
                 118,             0.03063,           0.0078613,            0.003979,             0.57715,             0.47165,             0.45067,             0.18987,            0.051101,            0.010012,            0.043792,           0.0043126,           0.0043126,           0.0043126
                 119,            0.030404,           0.0078343,           0.0039051,             0.58095,             0.46575,             0.45284,             0.18956,            0.051164,            0.010001,            0.043795,           0.0042445,           0.0042445,           0.0042445
                 120,            0.030433,           0.0077991,           0.0040275,             0.57094,             0.47023,             0.45163,             0.18939,            0.051202,            0.010021,            0.043862,           0.0041768,           0.0041768,           0.0041768
                 121,            0.029849,           0.0077262,           0.0037553,              0.5551,             0.48364,             0.44876,             0.19061,            0.051207,            0.010037,            0.044025,           0.0041094,           0.0041094,           0.0041094
                 122,            0.029753,           0.0076188,            0.003787,             0.54541,             0.47732,             0.45178,             0.18979,            0.051229,            0.010063,            0.044212,           0.0040424,           0.0040424,           0.0040424
                 123,            0.029588,           0.0076077,           0.0036558,             0.56788,             0.45552,             0.44668,             0.19004,            0.051253,            0.010088,             0.04435,           0.0039757,           0.0039757,           0.0039757
                 124,            0.029193,           0.0076663,           0.0036682,             0.60755,             0.43651,             0.44688,             0.18904,            0.051302,            0.010139,            0.044515,           0.0039094,           0.0039094,           0.0039094
                 125,            0.029231,           0.0075656,           0.0036535,             0.52349,             0.48998,             0.44636,             0.18796,            0.051338,            0.010187,            0.044604,           0.0038434,           0.0038434,           0.0038434
                 126,            0.029361,           0.0075409,           0.0036023,             0.53124,             0.48619,             0.44473,             0.18645,            0.051389,            0.010233,            0.044726,           0.0037779,           0.0037779,           0.0037779
                 127,            0.029207,           0.0075694,           0.0037888,             0.51465,             0.49508,             0.44324,             0.18699,            0.051451,            0.010269,            0.044745,           0.0037128,           0.0037128,           0.0037128
